pres,temp,sal
1.346,4.0282,28.6399875
2.00794444444444,4.1978,28.8382333333333
3.13975,5.35843333333333,30.1418083333333
4.0456,5.729352,30.93606
4.96690909090909,5.76544545454546,31.389
6.07328571428571,5.66486428571428,31.5444571428571
7.11475,5.584625,31.6174083333333
8.13091666666667,5.58026666666667,31.633
9.17855555555555,5.54637777777778,31.6509777777778
10.0709333333333,5.50242333333333,31.66798
11.1001111111111,5.40423333333333,31.6895222222222
12.1030714285714,5.3691,31.6949571428571
13.1304285714286,5.38812142857143,31.7220357142857
14.1344666666667,5.41946,31.7476
15.1667619047619,5.45533333333333,31.7771571428571
16.115,5.45727619047619,31.8008904761905
17.1824705882353,5.24375294117647,31.8254647058824
18.18385,5.060285,31.82088
19.1893529411765,4.99977647058823,31.8370941176471
20.2416315789474,4.96566315789474,31.8705368421053
21.1576111111111,4.89820555555556,31.8795888888889
22.1824615384615,4.83543846153846,31.8900307692308
23.2221428571429,4.69071428571429,31.8991642857143
24.3344642857143,4.54403214285714,31.9392214285714
25.1864347826087,4.34867391304348,31.934547826087
26.2472142857143,4.0407,31.9610928571429
27.2574615384615,3.86954615384615,31.973
28.2807333333333,3.69843333333333,31.9894066666667
29.2681764705882,3.32248235294118,32.0510470588235
30.3322105263158,2.93483157894737,32.1366947368421
31.2582692307692,2.67064615384615,32.1900692307692
32.2853125,2.4226125,32.2475125
33.3275294117647,2.18935882352941,32.2747176470588
34.3578888888889,1.93446666666667,32.3279777777778
35.372,1.83017857142857,32.3575785714286
36.3880625,1.76459375,32.36621875
37.3878695652174,1.37625217391304,32.4099695652174
38.3628823529412,0.91,32.4995823529412
39.354375,0.92599375,32.52494375
40.4295,0.730535,32.54861
41.3819259259259,0.356344444444444,32.6341037037037
42.3936666666667,0.231673333333333,32.65796
43.4444166666667,0.1652,32.6750916666667
44.4605833333333,0.136866666666667,32.7044833333333
45.4877333333333,0.07032,32.72358
46.46453125,0.168575,32.741978125
47.4137727272727,0.233277272727273,32.7570681818182
48.4876,0.195186666666667,32.76678
49.5052857142857,0.161142857142857,32.7786285714286
50.5084,0.18688,32.80678
51.5327777777778,0.379011111111111,32.8417333333333
52.5425555555556,0.461211111111111,32.8547333333333
53.5637222222222,0.450555555555556,32.8632833333333
54.5532083333333,0.319241666666667,32.8661708333333
55.5385789473684,0.245915789473684,32.8614684210526
56.5445,0.02356875,32.8900125
57.5788235294117,0.0175764705882353,32.9168117647059
58.5909375,0.19815,32.93824375
59.5732,0.286546666666667,32.9590466666667
60.5993846153846,0.323284615384615,33.0222692307692
61.6785333333333,0.367326666666667,33.0598
62.5897727272727,0.336486363636364,33.0766136363636
63.6401666666667,0.0209833333333333,33.0974583333333
64.6856666666667,-0.0404083333333333,33.1115416666667
65.7422777777778,-0.119455555555556,33.1185944444444
66.5852083333333,-0.143883333333333,33.1415583333333
67.6791538461539,-0.230853846153846,33.1383
68.6911428571429,-0.293471428571429,33.1530214285714
69.7238461538462,-0.298953846153846,33.1721538461539
70.76,-0.4576875,33.1685625
71.8160434782609,-0.575847826086957,33.177847826087
72.5876315789474,-0.568697368421052,33.1820842105263
73.706,-0.447430769230769,33.2014769230769
74.7336363636364,-0.3996,33.2023363636364
75.7549,-0.43029,33.19893
76.7548181818182,-0.461736363636364,33.2267636363636
77.8481428571429,-0.642604761904762,33.2539047619048
78.7745333333333,-0.650866666666667,33.25498
79.7610434782609,-0.651686956521739,33.2562869565217
80.7848421052632,-0.647694736842105,33.2681894736842
81.8254285714286,-0.645721428571428,33.2799571428571
82.8683333333334,-0.650458333333333,33.28195
83.8577692307692,-0.649507692307692,33.2907692307692
84.84575,-0.65065,33.297375
85.8585263157895,-0.624921052631579,33.3036842105263
86.890347826087,-0.627921739130435,33.3063652173913
87.8846190476191,-0.599990476190476,33.3155
88.9135882352941,-0.572682352941177,33.3271764705882
89.935052631579,-0.549578947368421,33.3469894736842
90.8791739130435,-0.545956521739131,33.3566304347826
91.900375,-0.536325,33.36648125
92.9453333333333,-0.498625,33.3938
94.0256,-0.47494,33.420116
94.9080416666666,-0.447204166666667,33.4412708333333
95.9392666666667,-0.41402,33.4626266666667
97.0018333333333,-0.352205555555555,33.4872222222222
98.0891818181818,-0.233586363636364,33.5129318181818
98.8844444444444,-0.222397222222222,33.5186694444444
100.015642857143,-0.264671428571429,33.5213642857143
101.018615384615,-0.249946153846154,33.5313846153846
102.029916666667,-0.246141666666667,33.53485
103.05975,-0.227841666666667,33.5500583333333
104.145117647059,-0.163917647058824,33.5609823529412
104.960630434783,-0.102158695652174,33.5743739130435
106.0368,-0.027925,33.6083
107.080538461538,0.0275076923076923,33.6392307692308
108.117416666667,0.058025,33.65385
109.1106,0.0791,33.66602
110.132857142857,0.0966571428571428,33.6725285714286
111.173885714286,0.120997142857143,33.6822314285714
112.077842105263,0.141094736842105,33.6955631578947
113.138818181818,0.167881818181818,33.7172818181818
114.127636363636,0.176936363636364,33.7219727272727
115.189428571429,0.200028571428571,33.7375142857143
116.298770833333,0.234922916666667,33.7569083333333
117.117538461538,0.270069230769231,33.7727384615385
118.2114,0.31062,33.78768
119.237454545455,0.329554545454545,33.7986727272727
120.208,0.35064,33.80652
121.1982,0.37107,33.81296
122.250363636364,0.383054545454545,33.8165545454546
123.273818181818,0.416272727272727,33.8291363636364
124.469075,0.4952875,33.8492525
125.039615384615,0.539873076923077,33.8626769230769
126.278909090909,0.657972727272727,33.9049
127.345363636364,0.809118181818182,33.9497909090909
128.330181818182,0.923981818181818,33.9739454545455
