pres,cond,temp
0,36.5275983582115,8.62133607519157
2,36.5275983582115,8.62133607519157
4,36.5284319691527,8.6213157723064
6,36.5266698848548,8.61840384816207
8,36.5264381141499,8.61701434962607
10,36.5280962325294,8.61817677801724
12,36.5274221046327,8.61635693884409
14,36.5237652514566,8.61233772569445
16,36.5157173806734,8.60108115651709
18,36.5168321196604,8.60114717653509
20,36.514743111402,8.59819670542636
22,36.5018362351656,8.58292464313272
24,36.4910324292862,8.56979635416667
26,36.484361524673,8.56176365740741
28,36.4697685946627,8.54410099206349
30,36.4602547824106,8.53229145171958
32,36.4601888323327,8.53244696180556
34,36.3678444949462,8.42947327196383
36,36.4116371867063,8.47670523726852
38,36.2790143502158,8.32761512731481
40,36.0446403832708,8.06466155753968
42,36.0085398356436,8.0220953016493
44,35.9988218816507,8.0114133790436
46,35.9947831476732,8.00699556423611
48,35.9569791627294,7.96392971643519
50,35.9131202737997,7.91210588450292
52,35.8978377614058,7.89535446127946
54,35.8781960654725,7.87213327064043
56,35.8592464231026,7.85354904100529
58,35.7495372461231,7.72954201388889
60,35.6767165370706,7.64096884212018
62,35.6478094301298,7.61110225354031
64,35.3913376092341,7.31456605004789
66,35.1189557770554,7.00742508333333
68,34.8076163872623,6.641215625
70,34.6530575446188,6.46748924972767
72,34.5522889127642,6.36188897222222
74,34.320381176567,6.08463422222222
76,34.2377298406914,5.99072141472868
78,34.1134158467693,5.85127492108586
80,34.0360482374882,5.74994259510869
82,34.139132948022,5.88063333333333
84,33.979672193408,5.68545855943152
86,33.9610105180385,5.66285110887097
88,33.8564913077319,5.53126313405797
90,33.8348020072467,5.50667302414021
92,33.7465081588906,5.40854541062802
94,33.7190602738852,5.37759107565012
96,33.7226304128017,5.38451903521825
98,33.6562215874352,5.30725963383838
100,33.6543771724727,5.30660901199495
102,33.5950594934336,5.24045200617284
104,33.5509857075298,5.18634741263441
106,33.5613050976699,5.19763433908046
108,33.5509188973253,5.18790836489899
110,33.5124409032971,5.14184802676152
112,33.5109259651943,5.14157110339506
114,33.4242397609804,5.0424743287037
116,33.3893536399626,5.0013180941358
118,33.3852258300613,4.99545110987103
120,33.3756250305772,4.9831158234127
122,33.3660119154789,4.97027090643275
124,33.3423983763519,4.94281736111111
126,33.3087861729679,4.9038166087963
128,33.3058572021555,4.89949100241546
130,33.2814693836842,4.87142702907986
132,33.3078477234444,4.88937176932367
134,33.3374479240105,4.91782805555555
136,33.342921184287,4.92138370949074
138,33.3378361538279,4.91349067783816
140,33.326016409696,4.90114545138889
142,33.2970615095706,4.86011133680556
144,33.297455273146,4.8570468349359
146,33.2913606129282,4.84856337560386
148,33.2900415620749,4.84346583157525
150,33.2846203921497,4.83275281862745
152,33.2839193020702,4.83023585069444
154,33.2605374733962,4.80353222017974
156,33.2568446195763,4.79878468448068
158,33.2395685494396,4.77553837528935
160,33.2387599607325,4.77348246527778
162,33.2259091375069,4.75951884765625
164,33.194222319601,4.72537357142857
166,33.1918185028017,4.72249573363586
168,33.1446644387835,4.67385636935764
170,33.0730150329194,4.59946687242798
172,33.045335511803,4.56881620008681
174,33.0297221482859,4.55238862942613
176,33.0138459531036,4.53522171792328
178,32.9813016824642,4.49931055107527
180,32.9703459274939,4.4869265758547
182,32.9622930724731,4.47759582609954
184,32.9605658040478,4.47529920933735
186,32.9572209098847,4.47042642249104
188,32.9500345705178,4.46081947337963
190,32.9443665358751,4.45145257936508
192,32.9330795199455,4.43918621031746
194,32.9081913393908,4.41200578440657
196,32.8859238889197,4.38564926388889
198,32.8794045429877,4.37753577724359
200,32.8813022874147,4.3792438530816
202,32.8868723459691,4.38202855324074
204,32.8932688015028,4.38692099631519
206,32.8954434960086,4.38820011574074
208,32.8967957006925,4.38826597222222
210,32.9022546617607,4.39203720383987
212,32.9037158361733,4.39268391685957
214,32.8893973653823,4.37617044130824
216,32.8524456812149,4.33525002104377
218,32.8387363131014,4.31914935763889
220,32.8256676196684,4.30423319830247
222,32.8121777548748,4.28936926062091
224,32.7952507137966,4.26946071217494
226,32.795201736501,4.26834525089606
228,32.7950231765448,4.2671960375817
230,32.7961117714767,4.26746825892857
232,32.7948040682211,4.26507816468254
234,32.786056750205,4.25488134837963
236,32.7763707505051,4.24412674121732
238,32.7729176718472,4.23972295673077
240,32.7558934505916,4.22089065806878
242,32.7466249619564,4.2095190162037
244,32.7526300509388,4.21587026041667
246,32.7336145668547,4.19343929924242
248,32.7280884574107,4.18552130208333
250,32.7204714079358,4.17629174558081
252,32.716822081648,4.17040818339646
254,32.7223908897102,4.17467894097222
256,32.7288918100733,4.17507954408213
258,32.7312257541772,4.17692157179186
260,32.7262281281058,4.17089993351064
262,32.7136697222601,4.15670287247475
264,32.685729029793,4.12697142984331
266,32.6608579535248,4.10071175925926
268,32.6524613615115,4.09028079989712
270,32.6623691050981,4.09870482638889
272,32.6672668346221,4.10248020224171
274,32.6689441445384,4.10319857417258
276,32.6684155215664,4.10085893586601
278,32.66711327331,4.09790649594907
280,32.6665289191999,4.09581613247863
282,32.6672501621456,4.09414689114987
284,32.6678976849823,4.09417243867244
286,32.6635332394483,4.08702501286008
288,32.6640464066374,4.08617383897569
290,32.6649132961834,4.08620326244213
292,32.665928566508,4.08626278153153
294,32.6663807041907,4.08471790420228
296,32.6666071693402,4.08386991421569
298,32.6664521431592,4.08202438568376
300,32.6648895079676,4.07899276871981
302,32.6601984468508,4.07333421585648
304,32.6508464191184,4.06272607570806
306,32.643211453022,4.05379193548387
308,32.6302746307816,4.03755142195767
310,32.6291334014139,4.03527135416667
