time,temp,pres
736788.322916667,3.69339749742936,182.661866166874
736788.333333333,3.70129115227465,182.560114236454
736788.34375,3.70100034558822,182.77575117648
736788.354166667,3.6932084869787,182.6831011909
736788.364583333,3.68930436786441,182.769902563025
736788.375,3.68640334068615,182.941801862752
736788.385416667,3.68130554917838,183.12080523472
736788.395833333,3.67041220762105,183.093031359027
736788.40625,3.66490633578408,183.243826053928
736788.416666667,3.65571001028257,183.329906425619
736788.427083333,3.64351366357586,183.430886883511
736788.4375,3.62781808578364,183.489932034316
736788.447916667,3.61341566826837,183.495993471555
736788.458333333,3.60480963170101,183.603879043755
736788.46875,3.59620990686238,183.661933186277
736788.479166667,3.58611098954934,183.784866166874
736788.489583333,3.58330313590266,183.791992160243
736788.5,3.57291198039171,183.792
736788.510416667,3.56640707248225,183.898883576061
736788.520833333,3.55331467154457,183.914982080556
736788.53125,3.53572027450905,183.742199289208
736788.541666667,3.51512241432837,183.806929275177
736788.552083333,3.49012799913086,183.628200473777
736788.5625,3.44625057107656,183.756851397064
736788.572916667,3.41912948681062,183.858889016432
736788.583333333,3.38763527890488,183.702175834542
736788.59375,3.36252891421461,183.609107132349
736788.604166667,3.36939249228807,183.486133833126
736788.614583333,3.36530459185746,183.422071677775
736788.625,3.36340218872541,183.351081789213
736788.635416667,3.36779521247355,183.221141449645
736788.645833333,3.36560246392352,183.307902563025
736788.65625,3.37638755882399,183.371926274513
736788.666666667,3.39647812970873,183.185203469874
736788.677083333,3.41437995262231,182.905313590266
736788.6875,3.44476498039346,182.93196889706
736788.697916667,3.45548835760614,182.738211086393
736788.708333333,3.46808588843805,182.86785440452
736788.71875,3.46570276470578,182.566347892144
736788.729166667,3.45960663725257,182.587976062368
736788.739583333,3.46249675210082,182.679896963198
736788.75,3.46669516176489,182.566131323525
736788.760416667,3.46849804146645,182.614946684365
736788.770833333,3.46959876803824,182.737862244276
736788.78125,3.46890080637252,182.465314485282
736788.791666667,3.4684005440371,182.550906425619
736788.802083333,3.4684,182.57197648073
736788.8125,3.46660207352934,182.651907843141
736788.822916667,3.46330359064484,182.716929275178
736788.833333333,3.46270067197914,182.78192720226
736788.84375,3.46020287990185,182.760025343136
736788.854166667,3.45780261137806,182.931812851239
736788.864583333,3.45190660779488,182.99692720226
736788.875,3.44580702696052,182.911099068624
736788.885416667,3.43920718128967,183.082812851239
736788.895833333,3.43300694378445,183.125951841495
736788.90625,3.42391048284275,183.384701642168
736788.916666667,3.41710739890451,183.212188236835
736788.927083333,3.40990806374969,183.36283088525
736788.9375,3.4006107132349,183.550783431381
736788.947916667,3.39150990147515,183.578969533923
736788.958333333,3.38520705578098,183.722838725006
736788.96875,3.3821035710783,183.852850245104
736788.979166667,3.3769056579858,183.81004678719
736788.989583333,3.37779899203129,183.98180736598
736789,3.37150725735267,183.933056446076
